Index;lat_decimal;lon_decimal
214;40,97159928;-1,478659641
215;40,96950646;-1,481469896
216;40,96764807;-1,478699477
217;40,96592093;-1,481677524
218;40,93932547;-1,474845959
219;40,95868412;-1,462596684
220;40,95617068;-1,463286563
221;40,94783301;-1,499487172
222;40,93295803;-1,442298105
223;40,93550816;-1,447036945
224;40,97925324;-1,475594998
225;40,97638514;-1,476683229
226;40,96072372;-1,521176126
227;40,95622353;-1,519363637
228;40,91942293;-1,43327028
229;40,95905592;-1,448469137
230;39,05038747;-2,077533798
231;39,06192542;-2,099933745
232;39,09910757;-1,663435523
233;39,27954272;-1,712891183
